country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
MT,Malta,54101,AD ,Alternattiva Demokratika,The Green Party,1996,No title
MT,Malta,54101,AD,Alternattiva Demokratika,The Green Party,2003,nifs gdid nifs nadif - il-manifest 2002
MT,Malta,54101,AD ,Alternattiva Demokratika,The Green Party,2008,"A stable, transparent and responsible government"
MT,Malta,54320,PL,Labour Party,Labour Party,1981,No title
MT,Malta,54320,PL,Labour Party,Labour Party,1987,No title
MT,Malta,54320,PL,Labour Party,Labour Party,1996,‘Vi?joni G?al Malta Moderna’
MT,Malta,54320,PL,Labour Party,Labour Party,1998,‘Valurisodi Vi?joni Moderna’
MT,Malta,54320,PL,Labour Party,Labour Party,2003,No title 
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1981,No title
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1987,No title
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1992,No title
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1996,‘PN Futur’
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1998,‘?id. Fidu?ja. Direzzjoni’
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,1998,No title
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,2003,Biex Malta Tikber FL-Ewropa - Programm Elettorali tal-Partit Nazzjonalista 2003
MT,Malta,54322,PN,Nationalist Party,Nationalist Party,2008,"iva, flimkien kollox possibbli"
