country, state, party, polidoc_code, comment  
Austria, ,  Team Stronach, 42954.000,   
Belgium, , Libertair Direct Democratisch, 21403, entspricht Lijst Dedecker
Belgium,  , Front National ,21701 , vorhanden
Finnland, , Sininen tulevaisuus , 14830, splinter True Fins 
Iceland, , Flokkur fólksins, 15994 , populist
Iceland, , Miðflokkurinn, 15995, 
Iceland, , Hreyfingin, 15120 , links-grün
Italy, , Fratelli d'Italia, 32740.000, 
Italy, Lombardy, Cinque Stelle, 32997.001, 
Italy, Lombardy, Etico a sinistra, 32203.001, communist
Italy, Lombardy, Fare per fermare il declino, 32406.001, liberal 
Italy, Lombardy, Lega Nord, 32720.001, 
Italy, Lombardy, Partito Democratico, 32340.001, 
Italy, Lombardy, Sinistra Ecologia Liberta, 32360.001, eco-social democratic 
Netherlands, , Pim Fortuyn List , 22720 , exists already
Norway, , Rødt,  12202, far-left
Switzerland, , Ensemble à Gauche, 43210.???, linksradikal
Switzerland, Zug ,Alternative – die Grünen Zug, 43111.025, eco-left
Switzerland, Neuenburg, solidaritéS , 43220.013, socialist left

Denmark, , Tjóðveldi , 13901, Republican Party / für Unabhängigkeit der Färöer Inseln / links
Finland, , Kristillisdemokraatit, 14530, Christian Democrats
Finland, , Vihreä Liitto, 14110, 
France, , , 31110, Europäische Grüne / zu Les Verts 
France, , Parti Radical Valoisien, 31440, PRV
France, , Parti Communiste, 31220, 
France, , Parti Radical de Gauche, 31302, 
Italy, , Rivoluzione Civile Ingroia, 32350, RC / Ingroia Name des Parteivorstands


Potami Griechenland: Gegründet 2014 (Orginalname: Ποτάμι)
Chrysi Avgi Griechenland: Abkürzung XA (Orginalname: Χρυσή Αυγή) sehr rechts
Ανεξάρτητοι Έλληνες, Anexartitoi Ellines, ANEL, Independent Greeks - National Patriotic Alliance (seit 2012)
DIMAR, Dimokratiki Aristera, Δημοκρατική Αριστερά, Democratic Left (seit 2010)
Union of Centrists, Ένωση Κεντρώων, Enosi Kentroon, EK


Liste Pilz (Österreich)

PRC 2019 (Spain)
ProgramaJxCat 2019 (Spain)
VOX 2019 (Spain)
