country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,17,Värmlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,FÖR ETT GRÖNARE OCH FRISKARE VÄRMLAND!
SE,Sweden,17,Värmlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,För ett grönt värmland
SE,Sweden,17,Värmlands län,11220,Vp,Vänsterpartiet,Left Party,2006,Valplattformen för hela länet
SE,Sweden,17,Värmlands län,11220,Vp,Vänsterpartiet,Left Party,2010,VALPLATTFORM HÄLSO- OCH SJUKVÅRD VÄNSTERPARTIET VÄRMLAND 2010-2014.
SE,Sweden,17,Värmlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Handlingsplan SOCIALDEMOKRATERNA VÄRMLAND 2007-2010
SE,Sweden,17,Värmlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Vision för Värmland
SE,Sweden,17,Värmlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Vår Politik – Landstinget i Värmland
SE,Sweden,17,Värmlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Kristdemokraternas program för Värmland
SE,Sweden,17,Värmlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,LANDSTINGSPOLITISKT VALPROGRAM VÄRMLAND 2010
SE,Sweden,17,Värmlands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Vården ska utveck las - inte avveck las
