country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,13,Skane län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,VALMANIFEST 2006 FÖR MP SKÅNE
SE,Sweden,13,Skane län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Valmanifest
SE,Sweden,13,Skane län,11220,Vp,Vänsterpartiet,Left Party,2006,Regionpolitiskt program för Vänsterpartiet Skåne
SE,Sweden,13,Skane län,11220,Vp,Vänsterpartiet,Left Party,2010,REGIONPOLITISKT PROGRAM FÖR VÄNSTERPARTIET SKÅNE 2010-2014
SE,Sweden,13,Skane län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Ett tryggt Skåne
SE,Sweden,13,Skane län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Möjligheternas Skåne - ett Skåne för jobb och välfärd
SE,Sweden,13,Skane län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Skåne kann bättre
SE,Sweden,13,Skane län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Underlag för Skåne
SE,Sweden,13,Skane län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Valprogram för Region Skåne 2006 ”Ett tryggt Skåne där ingen hålls tillbaka och ingen lämnas efter”
SE,Sweden,13,Skane län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,ETT MÄNSKLIGARE SKÅNE Valprogram för Kristdemokraterna i Region Skåne 2010
SE,Sweden,13,Skane län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Skåne har mer att ge!
SE,Sweden,13,Skane län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Skånemoderaternas 12-punktsprogram
SE,Sweden,13,Skane län,11810,CP,Centerpartiet,Centre Party,2006,Centerpartiet i Skåne – Ditt val för framtiden
SE,Sweden,13,Skane län,11810,CP,Centerpartiet,Centre Party,2010,DRÖMMEN OM SKÅNE
