country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,16,Cantabria,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2003,PROGRAMA DE GOBIERNO PARA CANTABRIA

ES,Spain,16,Cantabria,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2007,PROGRAMA ELECTORAL PARA CANTABRIA
ES,Spain,16,Cantabria,33610,PP,Partido Popular,Popular Party,2007,AGENDA PARA EL FUTURO: Más de 1.000 propuestas para mejorar la vida de los cántabros

ES,Spain,16,Cantabria,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2011,Programa Electoral Elecciones Autonómicas Cantabria 2011 - NECESARIOS PARA AVANZAR
ES,Spain,16,Cantabria,33610,PP,Partido Popular,Popular Party,2011,EMPLEO Y BUEN GOBIERNO Compromisos 2011-2015
ES,Spain,16,Cantabria,33963,PRC,Partido Regionalista de Cantabria,Cantabrian Regionalist Party,2011,"POR CANTABRIA, LOS PRIMEROS - PROGRAMA ELECTORAL CANTABRIA 2011-2015"


ES,Spain,16,Cantabria,33967,Cs,Ciudadanos,Citizens,2015,
ES,Spain,16,Cantabria,33220,IU,Izquierda Unida,United Left,2015,PROPUESTAS PARA EL PROGRAMA EN CANTABRIA
ES,Spain,16,Cantabria,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en Cantabria
ES,Spain,16,Cantabria,33610,PP,Partido Popular,Popular Party,2015,Programa Electoral
ES,Spain,16,Cantabria,33963,PRC,Partido Regionalista de Cantabria,Cantabrian Regionalist Party,2015,Sabermos gobernar
ES,Spain,16,Cantabria,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,Nuevas oportunidades para Cantabria
ES,Spain,16,Cantabria,33992,UP,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral
