country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,11,Rheinland-Pfalz,41953,AfD,Alternative für Deutschland,Alternative for Germany,2016,Mit Herz und Verstand für unser Land
DE,Deutschland,11,Rheinland-Pfalz,41601,ALFA,Allianz für Fortschritt und Aufbruch,Alliance for Progress and Renewal,2016,Wahlprogramm zur Landtagswahl 2016
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1975,Aktionsplan Sicherheit
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1979,Unser Weg in eine sichere Zukunft.
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1983,Programm der CDU Rheinland-Pfalz für die Landtagswahl 1983
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1983,Das Programm der CDU für Rheinland-Pfalz 1983-1987
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1987,Gewinnen wir die Zukunft. Für alle.
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1991,Grundfragen der Politik. Aussagen der Rheinland-Pfalz CDU zur Landtagswahl 1991
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1996,Unser Land muss Spitze werden. Regierungsprogramm der CDU Rheinland-Pfalz für die Jahre 1996 bis 2001
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2001,Rheinland-Pfalz. Das Zukunftsprogramm.
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2006,Wir schaffen es! Für Rheinland-Pfalz!
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Das Zukunftsprogramm. Mein Bürgervertrag mit Rheinland-Pfalz
DE,Deutschland,11,Rheinland-Pfalz,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2016,100 % Einsatz für Rheinland-Pfalz. 100 % für unsere Heimat. 100 % besser.
DE,Deutschland,11,Rheinland-Pfalz,41001,COAL,Koalition:SPD/FDP,Coalition:SPD/FDP,1991,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 12. Wahlperiode des rheinland-pfälzischen Landtags 1991-1996
